code,active_ingredient,type
127901,Fenpropathrin,Insecticide
83601,Fentin hydroxide,Fungicide
129121,Fipronil,Miticide
122809,Fluazifop-P-butyl,Herbicide
129098,Fluazinam,Fungicide
114009,Flucarbazone-sodium,Herbicide
118301,Flucythrinate,Insecticide
71503,Fludioxonil,Fungicide
121903,Flufenacet,Herbicide
123001,Flumetralin,Growth Reg
129016,Flumetsulam,Herbicide
128724,Flumiclorac-pentyl,Herbicide
129034,Flumioxazin,Herbicide
35503,Fluometuron,Herbicide
128959,Fluroxypyr,Herbicide
128975,Flutolanil,Fungicide
123802,Fomesafen Sodium,Herbicide
122020,Foramsulfuron,Herbicide
128827,Garlic oil,Biological
123301,Fosetyl-Al,Fungicide
43801,Gibberellic acid,Growth Reg
128850,Glufosinate-ammonium,Herbicide
417300,Glyphosate,Herbicide
103601,"Glyphosate, isopropylamine salt",Herbicide
128501,Glyphosate-trimesium,Insecticide
128721,Halosulfuron-methyl,Herbicide
107201,Hexazinone,Herbicide
128842,Imazamethabenz-methyl,Insecticide
129171,Imazamox,Herbicide
129041,Imazapic,Herbicide
128821,Imazapyr,Herbicide
128829,"Imazapyr, isopropylamine salt",Herbicide
128848,Imazaquin,Herbicide
128840,"Imazaquin, monoammonium salt",Herbicide
129023,"Imazaquin, sodium salt",Herbicide
128922,Imazethapyr,Herbicide
128923,"Imazethapyr, ammonium salt",Herbicide
129099,Imidacloprid,Fungicide
46701,Indole-3-butyric acid,Fungicide
67710,Indoxacarb,Insecticide
122021,Iodosulfuron-methyl-sodium,Herbicide
109801,Iprodione,Fungicide
125851,Isoxaben,Herbicide
123000,Isoxaflutole,Herbicide
116802,Kinetin (plant hormone),Biological
128888,Lactofen,Herbicide
128897,lambda-Cyhalothrin,Insecticide
9001,Lindane,Insecticide
35506,Linuron,Herbicide
111301,Live Chlamydospores of Phytophthora palmivora MWV,Biological
57701,Malathion,Insecticide
51503,"Maleic hydrazide, potassium salt",Herbicide
14504,Mancozeb,Fungicide
14505,Maneb,Fungicide
30501,MCPA,Herbicide
30564,"MCPA, 2-ethylhexyl ester",Herbicide
30516,"MCPA, dimethylamine salt",Herbicide
30563,"MCPA, isooctyl ester",Herbicide
19202,"MCPB, sodium salt",Herbicide
31519,"MCPP, DMA salt",Herbicide
129046,Mecoprop-P,Herbicide
113502,Mefenoxam,Fungicide
109101,Mepiquat chloride,Growth Reg
109105,Mepiquat pentaborate,Growth Reg
122009,Mesosulfuron-methyl,Herbicide
122990,Mesotrione,Herbicide
113501,Metalaxyl,Fungicide
53001,Metaldehyde,Molluscici
39003,Metam-sodium,Fumigant
101201,Methamidophos,Insecticide
123009,"Methanone, [3-(4,5-dihydro-3-isoxazolyl)-2-methyl-",Herbicide
100301,Methidathion,Insecticide
90301,Methomyl,Insecticide
121027,Methoxyfenozide,Insecticide
53201,Methyl bromide,Sterilant
53501,Methyl parathion,Insecticide
14601,Metiram,Fungicide
108801,Metolachlor,Herbicide
101101,Metribuzin,Herbicide
122010,Metsulfuron-methyl,Herbicide
41402,Molinate,Herbicide
13803,MSMA,Herbicide
128857,Myclobutanil,Fungicide
34401,Naled,Insecticide
103001,Napropamide,Herbicide
30703,"Naptalam, sodium salt",Herbicide
129008,Nicosulfuron,Herbicide
217500,Nonanoic acid,Herbicide
105801,Norflurazon,Herbicide
124002,Novaluron,Miticide
104201,Oryzalin,Herbicide
103801,Oxamyl,Insecticide
58702,Oxydemeton-methyl,Insecticide
111601,Oxyfluorfen,Herbicide
61601,Paraquat dichloride,Herbicide
57501,Parathion,Insecticide
41403,Pebulate,Herbicide
108501,Pendimethalin,Herbicide
119031,Penoxsulam,Herbicide
56502,Pentachloronitrobenzene,Fungicide
109701,"Permethrin, mixed cis,trans",Insecticide
98701,Phenmedipham,Herbicide
57201,Phorate,Insecticide
59201,Phosmet,Insecticide
76002,Phosphorous acid,Biological
129086,Phostebupirim,Insecticide
5104,"Picloram, potassium salt",Herbicide
147500,Pinoxaden,Herbicide
67501,Piperonyl butoxide,Insecticide
106101,Pirimicarb,Insecticide
128973,Primisulfuron-methyl,Herbicide
110201,Prodiamine,Herbicide
111401,Profenofos,Insecticide
112600,Prohexadione calcium,Growth Reg
80805,Prometryn,Herbicide
19101,Propachlor,Herbicide
119302,Propamocarb hydrochloride,Fungicide
28201,Propanil,Herbicide
97601,Propargite,Insecticide
80808,Propazine,Herbicide
122101,Propiconazole,Fungicide
122019,Propoxycarbazone-sodium,Herbicide
101701,Propyzamide,Herbicide
129031,Prosulfuron,Herbicide
101103,Pymetrozine,Insecticide
99100,Pyraclostrobin,Fungicide
30090,Pyraflufen-ethyl,Herbicide
69601,Pyrazon,Herbicide
69001,Pyrethrins,Insecticide
128834,Pyridate,Herbicide
129032,Pyriproxyfen,Insecticide
78905,Pyrithiobac-sodium,Herbicide
128974,Quinclorac,Herbicide
128711,Quizalofop-ethyl,Herbicide
128709,Quizalofop-p-ethyl,Herbicide
129009,Rimsulfuron,Herbicide
71003,Rotenone,Insecticide
121001,Sethoxydim,Herbicide
80807,Simazine,Herbicide
108800,S-Metolachlor,Herbicide
114402,Sodium acifluorfen,Herbicide
106902,Sodium asulam,Herbicide
103901,Sodium bentazon,Herbicide
73301,Sodium chlorate,Herbicide
110003,Spinosyn A,Insecticide
24875,Spiromesifen,Insecticide
6306,Streptomycin,Microbiocide
129081,Sulfentrazone,Herbicide
122001,Sulfometuron methyl,Herbicide
85601,Sulfosulfuron,Herbicide
77501,Sulfur,Fungicide
128997,Tebuconazole,Fungicide
129026,Tebufenozide,Insecticide
105501,Tebuthiuron,Herbicide
128912,Tefluthrin,Insecticide
12701,Terbacil,Herbicide
105001,Terbufos,Insecticide
120603,Tetraconazole,Fungicide
60109,Thiamethoxam,Fungicide
129100,Thiazopyr,Herbicide
120301,Thidiazuron,Herbicide
128845,Thifensulfuron methyl,Herbicide
108401,Thiobencarb,Herbicide
114501,Thiodicarb,Insecticide
102001,Thiophanate-methyl,Fungicide
79801,Thiram,Fungicide
121000,Tralkoxydim,Herbicide
121501,Tralomethrin,Insecticide
78802,Triallate,Herbicide
128969,Triasulfuron,Herbicide
128887,Tribenuron-methyl,Herbicide
74801,Tribuphos,Herbicide
116001,Triclopyr,Herbicide
129112,Trifloxystrobin,Fungicide
119009,Trifloxysulfuron-sodium,Herbicide
36101,Trifluralin,Herbicide
129002,Triflusulfuron-methyl,Herbicide
112602,Trinexapac-ethyl,Herbicide
41404,Vernolate,Herbicide
113201,Vinclozolin,Fungicide
129064,Zeta-Cypermethrin,Insecticide
101702,Zoxamide,Fungicide
108803,Fluthiacet-Methyl,Herbicide
129028,Dodecadien-1-ol,Biological
128940,Flutriafol,Fungicide
116902,Gibberellins,Growth Reg
69203,Nitrapyrin,Microbiocide
117423,Clopyralid potassium,Herbicide
128955,Capric acid,Microbicide
128919,Caprylic acid,Fungicide
14002,Cyanamid,Herbicide
63502,Mineral Oil,Biological
17703,"3S,6Rmethylisoprop",Algicide
17704,"3S,6Smethylisoprop",Algicide
69105,Alkyl. Dim. Benz. Am,Microbicide
70701,Capsaicin,Biological
16001,Carbon,Biological
6506,Harpin A B Protein,Biological
39002,Metam-Potassium,Fumigant
128961,Monocarbamide Dihyd.,Herbicide
56008,"Naa, Ethyl Ester",Growth Reg
56003,"Naa, Potassium Salt",Fungicide
129075,Sodium 5-Nitroguaiac,Growth Reg
76104,Sodium Nitrate,Fumigant
129076,Sodium O-Nitrophenol,Growth Reg
129077,Sodium P-Nitrophenol,Growth Reg
121901,Tridecen-1-Yl-Acetat,Biological
121902,Tridecenyl Acetate,Biological
88601,Zinc Phosphide,Fumigant
30034,"2,4-D, Triethylamine Salt",Herbicide
114102,"Hexadecadien Z,Z",Biological
138976,Uniconazole P,Growth Reg
116901,Benzyladenine,Growth Reg
128907,E-8-Dodecenyl Acetat,Biological
100053,Hydrolyzate,Biological
114002,"Mefluidide, Diet.",Herbicide
325,Metrafenone,Fungicide
72606,Potassium Silicate,Fungicide
128908,Z-8-Dodecanol,Biological
128906,Z-8-Dodecen Acetate,Biological
78001,Sulfuric Acid,Herbicide
78101,Sulfamic Acid,Herbicide
288201,Pyrimethanil,Fungicide
30802,Gaba,Biological
6477,Harpin Protein,Fungicide
595,Hydrogen Peroxide,Microbiocide
374350,L-Glutamic Acid,Growth Reg
69106,Alk. Dim. Benzyl 50%,Fungicide
69104,Alk. Dim. Benzyl 60%,Fungicide
69111,Alk. Dim. Eth. Benz.,Fungicide
6480,Bacillus Subtilis Amyloliquefac Fzb24,Biological
112701,Brodifacoum,Rodenticide
63201,Peroxyacetic Acid,Microbiocide
107200,Helicoverpa Zea Aba-Npv-U,Biological
129346,Spodoptera Frugiperda,Biological
55809,Reynoutria Sachaline,Biological
124871,Spirodiclofen,Insecticide
77702,Propionic Acid,Fungicide
6801,Arsenic Acid,Herbicide
20502,Sodium Chlorite,Herbicide
